document	text
poem1	Es läuten zur Kirche die Glocken,
poem1	Die Eltern, sie gingen schon aus,
poem1	Drei Kindlein in goldenen Locken,
poem1	Die sitzen noch unter dem Haus.
poem1	Die muntern, unmüßigen Gäste
poem1	Sind noch für die Kirche zu klein,
poem1	Doch wollen am heiligen Feste
poem1	Sie fromm wie die Alten schon sein.
poem1	Hat jedes ein Buch sich genommen
poem1	Und hält es verkehrt auf dem Schoß,
poem1	Draus singen die Schelme, die frommen,
poem1	Mit schallender Stimme drauf los.
poem1	Weiß selber noch keins, was es singet,
poem1	Singt jedes in anderem Ton;
poem1	Singt immer, ihr Kindlein, es dringet
poem1	Auch so zu dem himmlischen Thron.
poem1	Dort stehn eure Engel, die reinen,
poem1	Und singen dem Vater der Welt,
poem1	Der stets aus dem Munde der Kleinen
poem1	Am liebsten sein Lob sich bestellt.
poem1	Singt immer, da drüben im Garten,
poem1	Da singt's in die Wette mit euch;
poem1	Die Vöglein sind es, die zarten,
poem1	Die zwitschern im jungen Gesträuch.
poem1	Singt immer; ihr singet im Glauben,
poem1	Das ist ja dem Heiland genug,
poem1	Ein Herz ohne Falsch wie die Tauben
poem1	Nimmt frühe gen Himmel den Flug.
poem1	Singt immer; wir singen, die Alten,
poem1	Und lesen die Schrift mit Verstand,
poem1	Und doch ach! wie hundertmal halten
poem1	Das Buch wir verkehrt in der Hand!
poem1	Singt immer; wir singen die Lieder
poem1	Nach Noten, so wie sich's gehört,
poem1	Und doch — vom Gezänke der Brüder
poem1	Wie oft wird der Einklang gestört!
poem1	Singt immer; aus irdischen Hallen
poem1	Der hehrste und herrlichste Chor,
poem1	Was ist er? ein kindisches Lallen
poem1	Ein Hauch in des Ewigen Ohr.
poem2	Wie ist das Leben bitter arm!
poem2	Für so viel Liebe, so viel Harm,
poem2	Für so viel Jahre, trüb verbracht,
poem2	Für so viel Nächte, schwer durchwacht;
poem2	Ein Gruß aus Tränen leis und matt,
poem2	Ein Druck der Hand, ein Rosenblatt.
poem2	Und doch — die Welle schwillt und treibt;
poem2	Wer ahnt, was kommt? Wer weiß, was bleibt?
poem2	Ob mir nicht nah' der Tag gerückt,
poem2	An welchem mich allein beglückt
poem2	Die welke Rose tief im Schrein
poem2	Und jener Tränen Wiederschein!
